Original Name,Cleaned Name,Href,Crime Data,NAME,NETWORK
Finchley Road (LU Station),Finchley Road (LU Station),/data/9248895,46,Finchley Road,London Underground
Finsbury Park (LU Station),Finsbury Park (LU Station),/data/1631185,7,Finsbury Park,London Underground
Fulham Broadway (LU Station),Fulham Broadway (LU Station),/data/6119248,20,Fulham Broadway,London Underground
Gallions Reach (DLR),Gallions Reach (DLR),/data/9261912,3,Gallions Reach,DLR
Gants Hill (LU Station),Gants Hill (LU Station),/data/7144677,22,Gants Hill,London Underground
Gloucester Road (LU Station),Gloucester Road (LU Station),/data/6493148,32,Gloucester Road,London Underground
Golders Green (LU Station),Golders Green (LU Station),/data/8438770,22,Golders Green,London Underground
Goldhawk Road (LU Station),Goldhawk Road (LU Station),/data/6110068,11,Goldhawk Road,London Underground
Goodge Street (LU Station),Goodge Street (LU Station),/data/9248905,25,Goodge Street,London Underground
Grange Hill (LU Station),Grange Hill (LU Station),/data/9284389,1,Grange Hill,London Underground
Great Portland Street (LU Station),Great Portland Street (LU Station),/data/9265295,10,Great Portland Street,London Underground
Green Park (LU Station),Green Park (LU Station),/data/9284391,232,Green Park,London Underground
Greenford (LU Station),Greenford (LU Station),/data/8200655,0,Greenford,London Underground
Greenwich (DLR),Greenwich (DLR),/data/9437204,0,Greenwich,DLR
Gunnersbury (LU Station),Gunnersbury (LU Station),/data/8119973,3,Gunnersbury,London Underground
Hainault (LU Station),Hainault (LU Station),/data/8913417,19,Hainault,London Underground
Hammersmith  (district And Piccadilly Lines) (LU Station),Hammersmith (district And Piccadilly Lines) (LU Station),/data/6126621,0,Hammersmith,district And Piccadilly Lines) (LU Station
Hammersmith  (hammersmith And City Line) (LU Station),Hammersmith (hammersmith And City Line) (LU Station),/data/9253671,28,Hammersmith,hammersmith And City Line) (LU Station
Hammersmith (LU Station),Hammersmith (LU Station),/data/9253623,49,Hammersmith,London Underground
Hampstead (LU Station),Hampstead (LU Station),/data/9249150,12,Hampstead,London Underground
Hanger Lane (LU Station),Hanger Lane (LU Station),/data/9252185,8,Hanger Lane,London Underground
Harlesden (LU Station),Harlesden (LU Station),/data/9544843,17,Harlesden,London Underground
Harrow & Wealdstone (LU Station),Harrow & Wealdstone (LU Station),/data/8970532,43,Harrow & Wealdstone,London Underground
Harrow On The Hill (LU Station),Harrow On The Hill (LU Station),/data/6700430,77,Harrow On The Hill,London Underground
Hatton Cross (LU Station),Hatton Cross (LU Station),/data/7691566,21,Hatton Cross,London Underground
Heathrow Terminal 4 (LU Station),Heathrow Terminal 4 (LU Station),/data/9263963,5,Heathrow Terminal 4,London Underground
Heathrow Terminal 5 (LU Station),Heathrow Terminal 5 (LU Station),/data/9266768,8,Heathrow Terminal 5,London Underground
Heathrow Terminals 123 (LU Station),Heathrow Terminals 123 (LU Station),/data/9266769,23,Heathrow Terminals 123,London Underground
Hendon Central (LU Station),Hendon Central (LU Station),/data/6443894,14,Hendon Central,London Underground
Heron Quays (DLR),Heron Quays (DLR),/data/9689919,10,Heron Quays,DLR
High Barnet (LU Station),High Barnet (LU Station),/data/6444500,35,High Barnet,London Underground
High Street Kensington (LU Station),High Street Kensington (LU Station),/data/9258164,28,High Street Kensington,London Underground
Highbury And Islington (LU Station),Highbury And Islington (LU Station),/data/9259887,143,Highbury And Islington,London Underground
Highgate (LU Station),Highgate (LU Station),/data/7679409,11,Highgate,London Underground
Hillingdon (LU Station),Hillingdon (LU Station),/data/9280998,23,Hillingdon,London Underground
Holborn (LU Station),Holborn (LU Station),/data/9248887,122,Holborn,London Underground
Holland Park (LU Station),Holland Park (LU Station),/data/6493277,9,Holland Park,London Underground
Holloway Road (LU Station),Holloway Road (LU Station),/data/8511921,22,Holloway Road,London Underground
Hornchurch (LU Station),Hornchurch (LU Station),/data/7681579,7,Hornchurch,London Underground
Hounslow Central (LU Station),Hounslow Central (LU Station),/data/7691821,8,Hounslow Central,London Underground
Hounslow East (LU Station),Hounslow East (LU Station),/data/7691989,11,Hounslow East,London Underground
Hounslow West (LU Station),Hounslow West (LU Station),/data/7691920,21,Hounslow West,London Underground
Hyde Park Corner (LU Station),Hyde Park Corner (LU Station),/data/9280986,31,Hyde Park Corner,London Underground
Ickenham (LU Station),Ickenham (LU Station),/data/9281303,7,Ickenham,London Underground
Island Gardens (DLR),Island Gardens (DLR),/data/9249831,4,Island Gardens,DLR
Kennington (LU Station),Kennington (LU Station),/data/8082915,30,Kennington,London Underground
Kensal Green (LU Station),Kensal Green (LU Station),/data/9544836,11,Kensal Green,London Underground
Kensington (Olympia) (LU Station),Kensington (Olympia) (LU Station),/data/8200671,0,Kensington,Olympia) (LU Station
Kentish Town (LU Station),Kentish Town (LU Station),/data/9249155,4,Kentish Town,London Underground
Kenton (LU Station),Kenton (LU Station),/data/9544828,1,Kenton,London Underground
Kew Gardens (LU Station),Kew Gardens (LU Station),/data/9260911,7,Kew Gardens,London Underground
Kilburn (LU Station),Kilburn (LU Station),/data/9257164,27,Kilburn,London Underground
Kilburn Park (LU Station),Kilburn Park (LU Station),/data/9257191,17,Kilburn Park,London Underground
King George V (DLR),King George V (DLR),/data/9264599,5,King George V,DLR
Kings Cross St Pancras (LU Station),Kings Cross St Pancras (LU Station),/data/9249361,608,Kings Cross St Pancras,London Underground
Kingsbury (LU Station),Kingsbury (LU Station),/data/9257163,13,Kingsbury,London Underground
Knightsbridge (LU Station),Knightsbridge (LU Station),/data/8450709,33,Knightsbridge,London Underground
