MSOAC,MSOAHOCLN,LAD19C,LAD19N,REG,LSOACOUNT,POPMID15,IMD19 SCORE,MSOARANK,MSOADECILE,MSOAQUINTILE
E02000253,Cuckoo Park,E09000009,Ealing,London,6,9369,33.80143238,1132,2,1
E02000254,Southall North,E09000009,Ealing,London,5,8674,22.69048282,2559,4,2
E02000255,Drayton Green & Cleveland,E09000009,Ealing,London,6,9253,21.19055712,2816,5,3
E02000256,Ealing Broadway West,E09000009,Ealing,London,5,8853,14.11220242,4363,7,4
E02000257,Ealing Broadway East,E09000009,Ealing,London,8,13905,16.08274297,3851,6,3
E02000258,Acton Noel Road & Lunton Road,E09000009,Ealing,London,4,7057,18.52435341,3343,5,3
E02000259,Brent Valley,E09000009,Ealing,London,4,6187,14.81280588,4171,7,4
E02000260,Southall Park,E09000009,Ealing,London,5,9370,26.54392113,2001,3,2
E02000261,East Acton,E09000009,Ealing,London,6,11699,23.57625088,2427,4,2
E02000262,Acton Central,E09000009,Ealing,London,5,9243,26.46656226,2017,3,2
E02000263,Southall West,E09000009,Ealing,London,6,12191,29.49147248,1599,3,2
E02000264,Ealing Common & Twyford Ave,E09000009,Ealing,London,5,8301,18.10300265,3424,6,3
E02000265,West Ealing,E09000009,Ealing,London,6,10762,27.6407376,1851,3,2
E02000266,Norwood Green North & Windmill Park,E09000009,Ealing,London,7,11623,36.88706066,905,2,1
E02000267,Hanwell,E09000009,Ealing,London,4,7297,19.0284262,3242,5,3
E02000268,St Mary's,E09000009,Ealing,London,6,8980,20.64204978,2922,5,3
E02000269,Northfields,E09000009,Ealing,London,5,8081,10.62361007,5368,8,4
E02000270,South Acton,E09000009,Ealing,London,5,7911,35.99719163,966,2,1
E02000271,Bedford Park,E09000009,Ealing,London,4,6860,9.829194169,5587,9,5
E02000272,Elthorne Park,E09000009,Ealing,London,4,6516,10.15408211,5502,9,5
E02000274,Southall Green,E09000009,Ealing,London,7,14063,28.31282465,1743,3,2
