ATCOCode,ATCOCode_revised,NaptanCode,PlateCode,CleardownCode,CommonName,CommonNameLang,ShortCommonName,ShortCommonNameLang,Landmark,LandmarkLang,Street,StreetLang,Crossing,CrossingLang,Indicator,IndicatorLang,Bearing,NptgLocalityCode,LocalityName,ParentLocalityName,GrandParentLocalityName,Town,TownLang,Suburb,SuburbLang,LocalityCentre,GridType,Easting,Northing,Longitude,Latitude,StopType,BusStopType,TimingStatus,DefaultWaitTime,Notes,NotesLang,AdministrativeAreaCode,CreationDateTime,ModificationDateTime,RevisionNumber,Modification,Status
9400ZZMANIS1,940GZZMANIS1,mantpwjp,,,New Islington (Manchester Metrolink),,New Islington,,St Anne's RC Primary School,,Pollard Street,,,,To Ashton,,,N0080417,New Islington,Ancoats,,,,,,1,UKOS,385507,398285,-2.219854836,53.48108551,PLT,,,,,,147,2012-10-18T14:05:00,2021-04-16T09:27:13,3,revise,active
9400ZZMANIS2,940GZZMANIS2,mantpwjt,,,New Islington (Manchester Metrolink),,New Islington,,St Anne's RC Primary School,,Pollard Street,,,,To Manchester,,,N0080417,New Islington,Ancoats,,,,,,1,UKOS,385512,398277,-2.219779122,53.48101374,PLT,,,,,,147,2012-10-18T14:05:00,2021-04-16T09:27:13,3,revise,active
9400ZZMANMR,940GZZMANMR,mantwgtd,,,Northern Moor (Manchester Metrolink),,Northern Moor,,,,Off Sale Road,,,,,,,N0075104,Northern Moor,Manchester,,,,,,1,UKOS,380948,390900,-2.28810103,53.41456014,MET,,,,,,147,2014-09-12T10:43:00,2021-04-27T12:13:28,5,revise,active
9400ZZMANMR1,940GZZMANMR1,mantwgtg,,,Northern Moor (Manchester Metrolink),,Northern Moor,,,,Off Sale Road,,,,To Airport,,,N0075104,Northern Moor,Manchester,,,,,,1,UKOS,380949,390897,-2.288085803,53.41453321,PLT,,,,,,147,2014-09-12T10:44:00,2021-04-16T09:27:13,3,revise,active
9400ZZMANMR2,940GZZMANMR2,mantwgtj,,,Northern Moor (Manchester Metrolink),,Northern Moor,,,,Off Sale Road,,,,To Manchester,,,N0075104,Northern Moor,Manchester,,,,,,1,UKOS,380944,390905,-2.288161513,53.41460493,PLT,,,,,,147,2014-09-12T10:46:00,2021-04-16T09:27:13,3,revise,active
9400ZZMAOKS,940GZZMAOKS,mantwgdt,,,Oldham King Street (Manchester Metrolink),,Oldham King Street,,Oldham Sixth Form College,,Union Street West,,,,,,,E0057798,Oldham,,,,,,,0,UKOS,392314,404775,-2.117445946,53.53956492,MET,,,,,,147,2013-12-17T14:33:00,2021-04-27T12:13:28,4,revise,active
9400ZZMAOKS1,940GZZMAOKS1,mantwgdw,,,Oldham King Street (Manchester Metrolink),,Oldham King Street,,Oldham Sixth Form College,,Union Street West,,,,To Rochdale,,,E0057798,Oldham,,,,,,,0,UKOS,392313,404782,-2.11746121,53.53962783,PLT,,,,,,147,2013-12-17T14:35:00,2021-04-16T09:27:13,3,revise,active
9400ZZMAOKS2,940GZZMAOKS2,mantwgja,,,Oldham King Street (Manchester Metrolink),,Oldham King Street,,Oldham Sixth Form College,,Union Street West,,,,To Manchester,,,E0057798,Oldham,,,,,,,0,UKOS,392313,404772,-2.11746096,53.53953794,PLT,,,,,,147,2013-12-17T14:36:00,2021-04-16T09:27:13,3,revise,active
9400ZZMAOLD,940GZZMAOLD,mantmwaj,,,Old Trafford (Manchester Metrolink),,Old Trafford,,Old Trafford Cricket Ground,,Off Brian Statham Way,,,,,,,E0029170,Old Trafford,,,,,,,1,UKOS,381178,395525,-2.28491892,53.45613975,MET,,,,,,147,2006-09-20T00:00:00,2021-04-27T12:13:28,6,revise,active
9400ZZMAOLD1,940GZZMAOLD1,mantpmdm,,,Old Trafford (Manchester Metrolink),,Old Trafford,,Old Trafford Cricket Ground,,Off Brian Statham Way,,,,To Manchester,,,E0029170,Old Trafford,,,,,,,1,UKOS,381141,395486,-2.285473764,53.45578787,PLT,,,,,,147,2005-10-10T00:00:00,2021-04-16T09:27:13,6,revise,active
9400ZZMAOLD2,940GZZMAOLD2,mantpmdp,,,Old Trafford (Manchester Metrolink),,Old Trafford,,Old Trafford Cricket Ground,,Off Brian Statham Way,,,,To Altrincham,,,E0029170,Old Trafford,,,,,,,1,UKOS,381207,395556,-2.284484062,53.45641943,PLT,,,,,,147,2005-10-10T00:00:00,2021-04-16T09:27:13,5,revise,active
9400ZZMAOMC,940GZZMAOMC,mantwgjd,,,Oldham Central (Manchester Metrolink),,Oldham Central,,Spindles Town Square,,Union Street,,,,,,,E0057798,Oldham,,,,,,,1,UKOS,392666,404859,-2.112136569,53.54032505,MET,,,,,,147,2013-12-17T14:39:00,2021-04-27T12:13:28,3,revise,active
9400ZZMAOMC1,940GZZMAOMC1,mantwgjg,,,Oldham Central (Manchester Metrolink),,Oldham Central,,Spindles Town Square,,Union Street,,,,To Rochdale,,,E0057798,Oldham,,,,,,,1,UKOS,392666,404860,-2.112136593,53.54033404,PLT,,,,,,147,2013-12-17T14:41:00,2021-04-16T09:27:13,2,revise,active
9400ZZMAOMC2,940GZZMAOMC2,mantwgjm,,,Oldham Central (Manchester Metrolink),,Oldham Central,,Spindles Town Square,,Union Street,,,,To Manchester,,,E0057798,Oldham,,,,,,,1,UKOS,392667,404857,-2.112121432,53.54030709,PLT,,,,,,147,2013-12-17T14:42:00,2021-04-16T09:27:13,2,revise,active
9400ZZMAOMP,940GZZMAOMP,mantptam,,,Oldham Mumps (Manchester Metrolink),,Oldham Mumps,,,,Mumps,,,,,,,N0075108,Oldham Mumps,Oldham,,,,,,1,UKOS,393244,405092,-2.103420005,53.54242721,MET,,,,,,147,2012-04-04T16:23:00,2021-04-27T12:13:28,7,revise,active
