Borough,Year,Receipts
Harrow,2021,1266432
Havering,2021,789907
Hillingdon,2021,7951143
Hounslow,2021,2470163
Islington,2021,3739131
Kensington & Chelsea,2021,2891980
Kingston,2021,1786372
Lambeth,2021,2295750
Lewisham,2021,"2,697,472"
LLDC,2021,"546,889"
Merton,2021,"1,810,513"
Newham,2021,"4,677,280"
OPDC,2021,"1,458,983"
Redbridge,2021,"956,840"
Richmond,2021,"745,615"
Southwark,2021,"12,985,082"
Sutton,2021,"431,206"
Tower Hamlets,2021,"12,166,815"
Waltham Forest,2021,"3,553,025"
Wandsworth,2021,"11,098,609"
Westminster,2021,11815041
Total,2021,143143675
Barking & Dagenham,2022,2041863
Barnet,2022,7539090
Bexley,2022,1199255
Brent,2022,6832117
Bromley,2022,1589219
Camden,2022,6325604
City,2022,27198935
Croydon,2022,964774
Ealing,2022,5366722
Enfield,2022,1934613
Greenwich,2022,3001146
Hackney,2022,4494231
Hammersmith & Fulham,2022,4885646
Haringey,2022,2283760
Harrow,2022,3814411
Havering,2022,684462
Hillingdon,2022,2672319
Hounslow,2022,3804180
Islington,2022,1381996
Kensington & Chelsea,2022,1209846
Kingston,2022,2360542
Lambeth,2022,6363413
Lewisham,2022,"3,872,120"
LLDC,2022,"2,764,272"
Merton,2022,"2,540,163"
Newham,2022,"2,790,479"
OPDC,2022,"1,766,589"
Redbridge,2022,"810,648"
Richmond,2022,"730,436"
Southwark,2022,"20,606,091"
Sutton,2022,"465,648"
Tower Hamlets,2022,"7,848,033"
Waltham Forest,2022,"4,930,936"
Wandsworth,2022,"10,228,841"
Westminster,2022,11414675
Total,2022,168717072
Barking & Dagenham,2023,5000023
Barnet,2023,4610493
Bexley,2023,1144241
Brent,2023,8505553
Bromley,2023,1942532
Camden,2023,7212404
City,2023,31684769
Croydon,2023,579917
Ealing,2023,4954780
Enfield,2023,899789
Greenwich,2023,2918103
Hackney,2023,2757719
Hammersmith & Fulham,2023,9378577
Haringey,2023,2610585
Harrow,2023,1475731
Havering,2023,716422
Hillingdon,2023,3114593
Hounslow,2023,1154704
Islington,2023,2917095
Kensington & Chelsea,2023,1938111
Kingston,2023,1986188
Lambeth,2023,4314569
Lewisham,2023,"710,384"
LLDC,2023,"5,582,912"
Merton,2023,"1,995,284"
Newham,2023,"1,251,806"
OPDC,2023,"5,048,454"
Redbridge,2023,"2,178,497"
Richmond,2023,"1,531,062"
Southwark,2023,"5,738,564"
Sutton,2023,"377,971"
Tower Hamlets,2023,"11,940,767"
Waltham Forest,2023,"1,417,322"
Wandsworth,2023,"4,960,171"
Westminster,2023,11691209
Total,2023,156241302
Barking & Dagenham,CumulativeTotal,13918104
Barnet,CumulativeTotal,50331717
Bexley,CumulativeTotal,11864216
Brent,CumulativeTotal,58079065
Bromley,CumulativeTotal,20606717
Camden,CumulativeTotal,45478043
City,CumulativeTotal,115472035
Croydon,CumulativeTotal,17466293
Ealing,CumulativeTotal,38676050
Enfield,CumulativeTotal,14033624
Greenwich,CumulativeTotal,37508812
Hackney,CumulativeTotal,39194607
Hammersmith & Fulham,CumulativeTotal,68294077
Haringey,CumulativeTotal,28115035
Harrow,CumulativeTotal,18500426
Havering,CumulativeTotal,8935611
Hillingdon,CumulativeTotal,34806493
Hounslow,CumulativeTotal,39257665
Islington,CumulativeTotal,34813634
Kensington & Chelsea,CumulativeTotal,21863011
Kingston,CumulativeTotal,18019273
Lambeth,CumulativeTotal,45793678
Lewisham,CumulativeTotal,"20,381,177"
LLDC,CumulativeTotal,"32,062,451"
Merton,CumulativeTotal,"18,039,878"
Newham,CumulativeTotal,"26,399,142"
OPDC,CumulativeTotal,"15,961,492"
Redbridge,CumulativeTotal,"7,332,662"
Richmond,CumulativeTotal,"10,253,119"
Southwark,CumulativeTotal,"81,080,604"
Sutton,CumulativeTotal,"6,161,184"
Tower Hamlets,CumulativeTotal,"122,449,825"
Waltham Forest,CumulativeTotal,"18,678,430"
Wandsworth,CumulativeTotal,"72,481,486"
Westminster,CumulativeTotal,121082184
Total,CumulativeTotal,1333391821
