Line,Lost Customer Hours,Date
Victoria,"427,165",2018-06-01
Victoria,"271,192",2018-07-01
Victoria,"272,290",2018-08-01
Victoria,"228,607",2018-09-01
Victoria,"372,054",2018-10-01
Victoria,"433,881",2018-11-01
Victoria,"342,101",2018-12-01
Victoria,"190,358",2019-01-01
Victoria,"294,200",2019-02-01
Victoria,"341,968",2019-03-01
Victoria,"257,446",2019-03-31
Victoria,"451,182",2019-04-01
Victoria,"425,703",2019-05-01
Victoria,"486,638",2019-06-01
Victoria,"355,886",2019-07-01
Victoria,"359,503",2019-08-01
Victoria,"344,607",2019-09-01
Victoria,"603,805",2019-10-01
Victoria,"443,621",2019-11-01
Victoria,"617,025",2019-12-01
Victoria,"370,875",2020-01-01
Victoria,"458,295",2020-02-01
Victoria,"416,006",2020-03-01
Waterloo & City,"18,615",2016-04-01
Waterloo & City,"2,559",2016-05-01
Waterloo & City,"13,361",2016-06-01
Waterloo & City,"4,043",2016-07-01
Waterloo & City,"7,379",2016-08-01
Waterloo & City,"3,611",2016-09-01
Waterloo & City,"6,278",2016-10-01
Waterloo & City,"6,238",2016-11-01
Waterloo & City,"12,139",2016-12-01
Waterloo & City,"4,438",2017-01-01
Waterloo & City,"3,250",2017-02-01
Waterloo & City,"8,790",2017-03-01
Waterloo & City,"13,821",2017-03-31
Waterloo & City,"11,649",2017-04-01
Waterloo & City,"8,926",2017-05-01
Waterloo & City,"9,159",2017-06-01
Waterloo & City,"4,054",2017-07-01
Waterloo & City,"3,782",2017-08-01
Waterloo & City,"5,999",2017-09-01
Waterloo & City,"12,089",2017-10-01
Waterloo & City,"7,812",2017-11-01
Waterloo & City,"8,632",2017-12-01
Waterloo & City,"2,701",2018-01-01
Waterloo & City,"17,289",2018-02-01
Waterloo & City,"10,474",2018-03-01
Waterloo & City,"3,876",2018-03-31
Waterloo & City,"8,376",2018-04-01
Waterloo & City,"12,036",2018-05-01
Waterloo & City,"11,588",2018-06-01
Waterloo & City,"6,511",2018-07-01
Waterloo & City,"10,981",2018-08-01
Waterloo & City,"10,757",2018-09-01
Waterloo & City,"8,653",2018-10-01
Waterloo & City,"3,086",2018-11-01
Waterloo & City,"8,376",2018-12-01
Waterloo & City,"3,150",2019-01-01
Waterloo & City,"2,399",2019-02-01
Waterloo & City,"4,139",2019-03-01
Waterloo & City,"3,717",2019-03-31
Waterloo & City,"3,680",2019-04-01
Waterloo & City,"14,113",2019-05-01
Waterloo & City,"1,841",2019-06-01
Waterloo & City,"13,698",2019-07-01
Waterloo & City,"7,560",2019-08-01
Waterloo & City,"7,736",2019-09-01
Waterloo & City,"6,047",2019-10-01
Waterloo & City,"11,257",2019-11-01
Waterloo & City,"4,514",2019-12-01
Waterloo & City,"1,780",2020-01-01
Waterloo & City,"3,982",2020-02-01
Waterloo & City,"4,780",2020-03-01
